"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work2","TestC","","","test_nine[8-6-2]",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work","TestA","","","test_one",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work","TestB","","","test_six[3-6-9]",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work","TestC","","","test_eight",""
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work","TestB","","","test_six[6-9-13]",""
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work","TestB","","","test_five",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work","TestC","","","test_seven",""
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work","TestC","","","test_nine[3-3-9]",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work2","TestA","","","test_one",""
"passed","Sun Oct 20 10:36:19 CST 2019","Sun Oct 20 10:36:19 CST 2019","2","","test_work2","TestB","","","test_six[5-5-10]",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work","TestA","","","test_two",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work","TestB","","","test_six[5-5-10]",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work2","TestC","","","test_nine[9-6-15]",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work","TestB","","","test_four",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work2","TestA","","","test_two",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work2","TestC","","","test_eight",""
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work","TestC","","","test_nine[8-6-2]",""
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work","TestA","","","test_three[5-7-9]",""
"passed","Sun Oct 20 10:36:19 CST 2019","Sun Oct 20 10:36:19 CST 2019","0","","test_work2","TestB","","","test_six[3-6-9]",""
"failed","Sun Oct 20 10:36:19 CST 2019","Sun Oct 20 10:36:19 CST 2019","1","","test_work2","TestB","","","test_six[6-9-13]",""
"failed","Sun Oct 20 10:36:19 CST 2019","Sun Oct 20 10:36:19 CST 2019","1","","test_work2","TestB","","","test_five",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work2","TestC","","","test_seven",""
"passed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","1","","test_work","TestC","","","test_nine[9-6-15]",""
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work2","TestA","","","test_three[5-7-9]",""
"failed","Sun Oct 20 10:36:18 CST 2019","Sun Oct 20 10:36:18 CST 2019","0","","test_work2","TestC","","","test_nine[3-3-9]",""
"passed","Sun Oct 20 10:36:19 CST 2019","Sun Oct 20 10:36:19 CST 2019","13","","test_work2","TestB","","","test_four",""
